# rho, eta, alpha
#  0.00126341039062, 1.05314561651e-05, 121.567059836
   0.006008026    0.000006729 1566.871582877
   0.005969127    0.000006744 1558.408285280
   0.005930529    0.000006758 1549.990701325
   0.005892231    0.000006772 1541.618584093
   0.005854232    0.000006786 1533.291688002
   0.005816531    0.000006799 1525.009768794
   0.005779127    0.000006813 1516.772583531
   0.005742018    0.000006827 1508.579890586
   0.005705204    0.000006841 1500.431449640
   0.005668683    0.000006854 1492.327021670
   0.005632454    0.000006868 1484.266368943
   0.005596516    0.000006881 1476.249255013
   0.005560868    0.000006894 1468.275444709
   0.005525508    0.000006908 1460.344704130
   0.005490435    0.000006921 1452.456800641
   0.005455647    0.000006934 1444.611502861
   0.005421144    0.000006947 1436.808580659
   0.005386924    0.000006960 1429.047805149
   0.005352985    0.000006973 1421.328948679
   0.005319326    0.000006985 1413.651784827
   0.005285946    0.000006998 1406.016088396
   0.005252843    0.000007011 1398.421635402
   0.005220015    0.000007023 1390.868203075
   0.005187462    0.000007036 1383.355569845
   0.005155181    0.000007048 1375.883515339
   0.005123171    0.000007061 1368.451820377
   0.005091431    0.000007073 1361.060266959
   0.005059958    0.000007085 1353.708638266
   0.005028752    0.000007098 1346.396718648
   0.004997811    0.000007110 1339.124293621
   0.004967132    0.000007122 1331.891149858
   0.004936715    0.000007134 1324.697075186
   0.004906558    0.000007146 1317.541858578
   0.004876659    0.000007157 1310.425290144
   0.004847016    0.000007169 1303.347161132
   0.004817628    0.000007181 1296.307263914
   0.004788493    0.000007193 1289.305391985
   0.004759609    0.000007204 1282.341339956
   0.004730975    0.000007216 1275.414903546
   0.004702589    0.000007227 1268.525879578
   0.004674448    0.000007239 1261.674065974
   0.004646552    0.000007250 1254.859261743
   0.004618898    0.000007261 1248.081266986
   0.004591485    0.000007272 1241.339882878
   0.004564311    0.000007284 1234.634911671
   0.004537374    0.000007295 1227.966156684
   0.004510673    0.000007306 1221.333422300
   0.004484205    0.000007317 1214.736513957
   0.004457969    0.000007328 1208.175238143
   0.004431963    0.000007338 1201.649402394
   0.004406185    0.000007349 1195.158815283
   0.004380633    0.000007360 1188.703286419
   0.004355305    0.000007371 1182.282626438
   0.004330201    0.000007381 1175.896646999
   0.004305317    0.000007392 1169.545160779
   0.004280652    0.000007402 1163.227981466
   0.004256204    0.000007413 1156.944923755
   0.004231972    0.000007423 1150.695803342
   0.004207953    0.000007434 1144.480436918
   0.004184146    0.000007444 1138.298642163
   0.004160548    0.000007454 1132.150237745
   0.004137159    0.000007464 1126.035043308
   0.004113975    0.000007475 1119.952879472
   0.004090996    0.000007485 1113.903567826
   0.004068219    0.000007495 1107.886930923
   0.004045643    0.000007505 1101.902792271
   0.004023266    0.000007515 1095.950976337
   0.004001086    0.000007525 1090.031308531
   0.003979101    0.000007534 1084.143615210
   0.003957309    0.000007544 1078.287723665
   0.003935709    0.000007554 1072.463462123
   0.003914298    0.000007564 1066.670659739
   0.003893075    0.000007573 1060.909146587
   0.003872039    0.000007583 1055.178753663
   0.003851187    0.000007593 1049.479312874
   0.003830517    0.000007602 1043.810657035
   0.003810028    0.000007612 1038.172619865
   0.003789718    0.000007621 1032.565035979
   0.003769585    0.000007630 1026.987740888
   0.003749628    0.000007640 1021.440570989
   0.003729844    0.000007649 1015.923363564
   0.003710233    0.000007658 1010.435956775
   0.003690791    0.000007668 1004.978189656
   0.003671518    0.000007677  999.549902111
   0.003652412    0.000007686  994.150934909
   0.003633471    0.000007695  988.781129680
   0.003614693    0.000007704  983.440328909
   0.003596077    0.000007713  978.128375929
   0.003577620    0.000007722  972.845114924
   0.003559322    0.000007731  967.590390917
   0.003541181    0.000007740  962.364049766
   0.003523194    0.000007749  957.165938167
   0.003505361    0.000007758  951.995903639
   0.003487680    0.000007767  946.853794527
   0.003470148    0.000007776  941.739459994
   0.003452765    0.000007784  936.652750020
   0.003435529    0.000007793  931.593515393
   0.003418438    0.000007802  926.561607707
   0.003401491    0.000007811  921.556879359
   0.003384685    0.000007819  916.579183543
   0.003368021    0.000007828  911.628374244
   0.003351495    0.000007836  906.704306239
   0.003335107    0.000007845  901.806835087
   0.003318854    0.000007853  896.935817127
   0.003302736    0.000007862  892.091109476
   0.003286751    0.000007870  887.272570021
   0.003270898    0.000007879  882.480057417
   0.003255174    0.000007887  877.713431083
   0.003239579    0.000007896  872.972551196
   0.003224111    0.000007904  868.257278690
   0.003208769    0.000007912  863.567475249
   0.003193551    0.000007921  858.903003305
   0.003178455    0.000007929  854.263726032
   0.003163481    0.000007937  849.649507344
   0.003148628    0.000007945  845.060211889
   0.003133893    0.000007954  840.495705047
   0.003119275    0.000007962  835.955852924
   0.003104773    0.000007970  831.440522352
   0.003090386    0.000007978  826.949580878
   0.003076112    0.000007986  822.482896769
   0.003061950    0.000007994  818.040338999
   0.003047899    0.000008002  813.621777254
   0.003033958    0.000008010  809.227081921
   0.003020125    0.000008018  804.856124089
   0.003006399    0.000008026  800.508775540
   0.002992779    0.000008034  796.184908754
   0.002979263    0.000008042  791.884396894
   0.002965851    0.000008050  787.607113811
   0.002952541    0.000008058  783.352934039
   0.002939332    0.000008066  779.121732786
   0.002926223    0.000008074  774.913385937
   0.002913213    0.000008082  770.727770045
   0.002900300    0.000008090  766.564762332
   0.002887484    0.000008097  762.424240683
   0.002874763    0.000008105  758.306083640
   0.002862137    0.000008113  754.210170404
   0.002849604    0.000008121  750.136380827
   0.002837163    0.000008129  746.084595410
   0.002824814    0.000008136  742.054695300
   0.002812554    0.000008144  738.046562286
   0.002800384    0.000008152  734.060078796
   0.002788302    0.000008160  730.095127890
   0.002776307    0.000008167  726.151593264
   0.002764398    0.000008175  722.229359240
   0.002752574    0.000008183  718.328310764
   0.002740835    0.000008190  714.448333404
   0.002729179    0.000008198  710.589313348
   0.002717606    0.000008206  706.751137397
   0.002706114    0.000008213  702.933692963
   0.002694703    0.000008221  699.136868067
   0.002683372    0.000008229  695.360551335
   0.002672120    0.000008236  691.604631993
   0.002660945    0.000008244  687.868999869
   0.002649848    0.000008251  684.153545381
   0.002638828    0.000008259  680.458159544
   0.002627883    0.000008267  676.782733957
   0.002617013    0.000008274  673.127160808
   0.002606217    0.000008282  669.491332866
   0.002595495    0.000008289  665.875143479
   0.002584845    0.000008297  662.278486571
   0.002574267    0.000008304  658.701256641
   0.002563760    0.000008312  655.143348754
   0.002553323    0.000008319  651.604658544
   0.002542956    0.000008327  648.085082211
   0.002532659    0.000008334  644.584516511
   0.002522429    0.000008342  641.102858761
   0.002512267    0.000008349  637.640006831
   0.002502172    0.000008357  634.195859144
   0.002492144    0.000008364  630.770314671
   0.002482181    0.000008372  627.363272928
   0.002472284    0.000008379  623.974633975
   0.002462451    0.000008387  620.604298411
   0.002452682    0.000008394  617.252167372
   0.002442976    0.000008402  613.918142527
   0.002433333    0.000008409  610.602126079
   0.002423752    0.000008417  607.304020757
   0.002414233    0.000008424  604.023729816
   0.002404776    0.000008432  600.761157033
   0.002395379    0.000008439  597.516206705
   0.002386042    0.000008446  594.288783646
   0.002376764    0.000008454  591.078793185
